/// Shaman Spell Status Data ///

    // Otherworldly Grasp //

        new entry "SB_Status_TotemicBlessing_Eagle_Self"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear_Self"
        data "DescriptionParams" "Eagle"
        data "Icon" "SB_Totem_EagleActive"
 
        // Earthquake //
    
        new entry "SB_Status_TotemicBlessing_Earthquake"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear"
        data "DescriptionParams" "Earthquake"
        data "Icon" "SB_Totem_Earthquake_Icon"
        data "Passives" "SB_Passive_Totems_Earthquake"
        data "OnRemoveFunctors" "RemoveStatus(SELF,SB_Status_TotemicBlessing_Earthquake_Self);IF(RemoveCause(StatusRemoveCause.Death)):RestoreResource(SELF,SB_TotemicBlessingCharge,1)"
        data "StatusEffect" "c91d64bc-e97f-48e2-aeb2-48ec88b71424"

        new entry "SB_Status_TotemicBlessing_Earthquake_Self"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear_Self"
        data "DescriptionParams" "Earthquake"
        data "Icon" "SB_Totem_EarthquakeActive"
 
        // Hound //
    
        new entry "SB_Status_TotemicBlessing_Hound"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear"
        data "DescriptionParams" "Hound"
        data "Icon" "SB_Totem_Hound_Icon"
        data "Passives" "SB_Passive_Totems_Hound"
        data "OnRemoveFunctors" "RemoveStatus(SELF,SB_Status_TotemicBlessing_Hound_Self);IF(RemoveCause(StatusRemoveCause.Death)):RestoreResource(SELF,SB_TotemicBlessingCharge,1)"
        data "StatusEffect" "80778eab-fd97-41f0-b535-b5249855da59"

        new entry "SB_Status_TotemicBlessing_Hound_Self"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear_Self"
        data "DescriptionParams" "Hound"
        data "Icon" "SB_Totem_HoundActive"
 
        // Mountain //
    
        new entry "SB_Status_TotemicBlessing_Mountain"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear"
        data "DescriptionParams" "Mountain"
        data "Icon" "SB_Totem_Mountain_Icon"
        data "Passives" "SB_Passive_Totems_Mountain"
        data "OnRemoveFunctors" "RemoveStatus(SELF,SB_Status_TotemicBlessing_Mountain_Self);IF(RemoveCause(StatusRemoveCause.Death)):RestoreResource(SELF,SB_TotemicBlessingCharge,1)"
        data "StatusEffect" "816fdd64-c203-4dcc-95bd-4b488f858e4b"

        new entry "SB_Status_TotemicBlessing_Mountain_Self"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear_Self"
        data "DescriptionParams" "Mountain"
        data "Icon" "SB_Totem_MountainActive"
 
        // Panther //
    
        new entry "SB_Status_TotemicBlessing_Panther"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear"
        data "DescriptionParams" "Panther"
        data "Icon" "SB_Totem_Panther_Icon"
        data "Passives" "SB_Passive_Totems_Panther"
        data "OnRemoveFunctors" "RemoveStatus(SELF,SB_Status_TotemicBlessing_Panther_Self);IF(RemoveCause(StatusRemoveCause.Death)):RestoreResource(SELF,SB_TotemicBlessingCharge,1)"
        data "StatusEffect" "69254d09-63e6-41a1-b485-06e0c89f77c9"

        new entry "SB_Status_TotemicBlessing_Panther_Self"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear_Self"
        data "DescriptionParams" "Panther"
        data "Icon" "SB_Totem_PantherActive"
 
        // Quagmire //
    
        new entry "SB_Status_TotemicBlessing_Quagmire"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear"
        data "DescriptionParams" "Quagmire"
        data "Icon" "SB_Totem_Quagmire_Icon"
        data "Passives" "SB_Passive_Totems_Quagmire"
        data "OnRemoveFunctors" "RemoveStatus(SELF,SB_Status_TotemicBlessing_Quagmire_Self);IF(RemoveCause(StatusRemoveCause.Death)):RestoreResource(SELF,SB_TotemicBlessingCharge,1)"
        data "StatusEffect" "514c6eac-14d5-47d4-8d4a-dbac47d2be47"

        new entry "SB_Status_TotemicBlessing_Quagmire_Self"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear_Self"
        data "DescriptionParams" "Quagmire"
        data "Icon" "SB_Totem_QuagmireActive"
 
        // Rains //
    
        new entry "SB_Status_TotemicBlessing_Rains"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear"
        data "DescriptionParams" "Rains"
        data "Icon" "SB_Totem_Rains_Icon"
        data "Passives" "SB_Passive_Totems_Rains"
        data "OnRemoveFunctors" "RemoveStatus(SELF,SB_Status_TotemicBlessing_Rains_Self);IF(RemoveCause(StatusRemoveCause.Death)):RestoreResource(SELF,SB_TotemicBlessingCharge,1)"
        data "StatusEffect" "16151132-7999-419e-9a97-4e4742166934"

        new entry "SB_Status_TotemicBlessing_Rains_Self"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear_Self"
        data "DescriptionParams" "Rains"
        data "Icon" "SB_Totem_Rains"
 
        // Twilight //
    
        new entry "SB_Status_TotemicBlessing_Twilight"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear"
        data "DescriptionParams" "Twilight"
        data "Icon" "SB_Totem_Twilight_Icon"
        data "Passives" "SB_Passive_Totems_Twilight;SB_Passive_Totems_Twilight2"
        data "OnRemoveFunctors" "RemoveStatus(SELF,SB_Status_TotemicBlessing_Twilight_Self);IF(RemoveCause(StatusRemoveCause.Death)):RestoreResource(SELF,SB_TotemicBlessingCharge,1)"
        data "StatusEffect" "66f39210-8d76-490b-98b7-2cb0e66f9921"

        new entry "SB_Status_TotemicBlessing_Twilight_Self"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear_Self"
        data "DescriptionParams" "Twilight"
        data "Icon" "SB_Totem_Twilight"
 
        // Whirlwind //
    
        new entry "SB_Status_TotemicBlessing_Whirlwind"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear"
        data "DescriptionParams" "Whirlwind"
        data "Icon" "SB_Totem_Whirlwind_Icon"
        data "Passives" "SB_Passive_Totems_Whirlwind"
        data "OnRemoveFunctors" "RemoveStatus(SELF,SB_Status_TotemicBlessing_Whirlwind_Self);IF(RemoveCause(StatusRemoveCause.Death)):RestoreResource(SELF,SB_TotemicBlessingCharge,1)"
        data "StatusEffect" "fee64f6d-42fd-4853-82d2-b4f906b3ae5e"

        new entry "SB_Status_TotemicBlessing_Whirlwind_Self"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear_Self"
        data "DescriptionParams" "Whirlwind"
        data "Icon" "SB_Totem_Whirlwind_Icon"

        // Winds //
    
        new entry "SB_Status_TotemicBlessing_Winds"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear"
        data "DescriptionParams" "Winds"
        data "Icon" "SB_Totem_Winds_Icon"
        data "Passives" "SB_Passive_Totems_Winds;SB_Passive_Totems_Winds2;SB_Passive_Totems_Winds3;SB_Passive_Totems_Winds4;"
        data "OnRemoveFunctors" "RemoveStatus(SELF,SB_Status_TotemicBlessing_Winds_Self);IF(RemoveCause(StatusRemoveCause.Death)):RestoreResource(SELF,SB_TotemicBlessingCharge,1)"
        data "StatusEffect" "9f32c7b9-80fc-4457-acf1-f33f0c3cf778"

        new entry "SB_Status_TotemicBlessing_Winds_Self"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear_Self"
        data "DescriptionParams" "Winds"
        data "Icon" "SB_Totem_WindsActive"
 
        // Eruption //
    
        new entry "SB_Status_TotemicBlessing_Eruption"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear"
        data "DescriptionParams" "Eruption"
        data "Icon" "SB_Totem_Eruption_Icon"
        data "Passives" "SB_Passive_Totems_Eruption"
        data "OnRemoveFunctors" "RemoveStatus(SELF,SB_Status_TotemicBlessing_Eruption_Self);IF(RemoveCause(StatusRemoveCause.Death)):RestoreResource(SELF,SB_TotemicBlessingCharge,1)"
        data "StatusEffect" "ecb4be51-04fa-4949-a8b0-aad42978b6d1"

        new entry "SB_Status_TotemicBlessing_Eruption_Self"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear_Self"
        data "DescriptionParams" "Eruption"
        data "Icon" "SB_Totem_EruptionActive"
 
        // Growth //
    
        new entry "SB_Status_TotemicBlessing_Growth"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear"
        data "DescriptionParams" "Growth"
        data "Icon" "SB_Totem_Growth_Icon"
        data "Passives" "SB_Passive_Totems_Growth"
        data "OnRemoveFunctors" "RemoveStatus(SELF,SB_Status_TotemicBlessing_Growth_Self);IF(RemoveCause(StatusRemoveCause.Death)):RestoreResource(SELF,SB_TotemicBlessingCharge,1)"
        data "StatusEffect" "bfd140a3-fce9-4f7e-9c74-c0d23c988f22"

        new entry "SB_Status_TotemicBlessing_Growth_Self"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear_Self"
        data "DescriptionParams" "Growth"
        data "Icon" "SB_Totem_GrowthActive"
 
        // Light //
    
        new entry "SB_Status_TotemicBlessing_Light"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear"
        data "DescriptionParams" "Light"
        data "Icon" "SB_Totem_Light_Icon"
        data "Passives" "SB_Passive_Totems_Light"
        data "OnRemoveFunctors" "RemoveStatus(SELF,SB_Status_TotemicBlessing_Light_Self);IF(RemoveCause(StatusRemoveCause.Death)):RestoreResource(SELF,SB_TotemicBlessingCharge,1)"
        data "StatusEffect" "35987f38-7b47-4498-8848-44f9ebce9fc1"

        new entry "SB_Status_TotemicBlessing_Light_Self"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear_Self"
        data "DescriptionParams" "Light"
        data "Icon" "SB_Totem_LightActive"
 
        // Mirth //
    
        new entry "SB_Status_TotemicBlessing_Mirth"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear"
        data "DescriptionParams" "Mirth"
        data "Icon" "SB_Totem_Mirth_Icon"
        data "Passives" "SB_Passive_Totems_Mirth"
        data "OnRemoveFunctors" "RemoveStatus(SELF,SB_Status_TotemicBlessing_Mirth_Self);IF(RemoveCause(StatusRemoveCause.Death)):RestoreResource(SELF,SB_TotemicBlessingCharge,1)"
        data "StatusEffect" "9b9b0cc7-3d07-4bff-861e-76943257f64e"

        new entry "SB_Status_TotemicBlessing_Mirth_Self"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear_Self"
        data "DescriptionParams" "Mirth"
        data "Icon" "SB_Totem_MirthActive"
 
        // Mystic //
    
        new entry "SB_Status_TotemicBlessing_Mystic"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear"
        data "DescriptionParams" "Mystic"
        data "Icon" "SB_Totem_Mystic_Icon"
        data "Passives" "SB_Passive_Totems_Mystic"
        data "OnRemoveFunctors" "RemoveStatus(SELF,SB_Status_TotemicBlessing_Mystic_Self);IF(RemoveCause(StatusRemoveCause.Death)):RestoreResource(SELF,SB_TotemicBlessingCharge,1)"
        data "StatusEffect" "6a2a890f-be34-4d16-a5e3-eebd61182542"

        new entry "SB_Status_TotemicBlessing_Mystic_Self"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear_Self"
        data "DescriptionParams" "Mystic"
        data "Icon" "SB_Totem_MysticActive"
 
        // Wrath //
    
        new entry "SB_Status_TotemicBlessing_Wrath"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear"
        data "DescriptionParams" "Wrath"
        data "Icon" "SB_Totem_Wrath_Icon"
        data "Passives" "SB_Passive_Totems_Wrath"
        data "OnRemoveFunctors" "RemoveStatus(SELF,SB_Status_TotemicBlessing_Wrath_Self);IF(RemoveCause(StatusRemoveCause.Death)):RestoreResource(SELF,SB_TotemicBlessingCharge,1)"
        data "StatusEffect" "43857b06-82c4-4c95-8d78-66b9d9d2cc92"

        new entry "SB_Status_TotemicBlessing_Wrath_Self"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear_Self"
        data "DescriptionParams" "Wrath"
        data "Icon" "SB_Totem_WrathActive"
 
        // Hunt //
    
        new entry "SB_Status_TotemicBlessing_Hunt"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear"
        data "DescriptionParams" "Hunt"
        data "Icon" "SB_Totem_Hunt_Icon"
        data "Passives" "SB_Passive_Totems_Hunt"
        data "OnRemoveFunctors" "RemoveStatus(SELF,SB_Status_TotemicBlessing_Hunt_Self);IF(RemoveCause(StatusRemoveCause.Death)):RestoreResource(SELF,SB_TotemicBlessingCharge,1)"
        data "StatusEffect" "253a6f97-b6a9-43b0-855d-f3302911626c"

        new entry "SB_Status_TotemicBlessing_Hunt_Self"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear_Self"
        data "DescriptionParams" "Hunt"
        data "Icon" "SB_Totem_HuntActive"
 
        // Sun //
    
        new entry "SB_Status_TotemicBlessing_Sun"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear"
        data "DescriptionParams" "Sun"
        data "Icon" "SB_Totem_Sun_Icon"
        data "Passives" "SB_Passive_Totems_Sun"
        data "OnRemoveFunctors" "RemoveStatus(SELF,SB_Status_TotemicBlessing_Sun_Self);IF(RemoveCause(StatusRemoveCause.Death)):RestoreResource(SELF,SB_TotemicBlessingCharge,1)"
        data "StatusEffect" "491ceec2-a931-409f-b2c4-bb4a0ad17134"

        new entry "SB_Status_TotemicBlessing_Sun_Self"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear_Self"
        data "DescriptionParams" "Sun"
        data "Icon" "SB_Totem_SunActive"

        // Vine //
    
        new entry "SB_Status_TotemicBlessing_Vine"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear"
        data "DescriptionParams" "Vine"
        data "Icon" "SB_Totem_Vine_Icon"
        data "Passives" "SB_Passive_Totems_Vine"
        data "OnRemoveFunctors" "RemoveStatus(SELF,SB_Status_TotemicBlessing_Vine_Self);IF(RemoveCause(StatusRemoveCause.Death)):RestoreResource(SELF,SB_TotemicBlessingCharge,1)"
        data "StatusEffect" "3c8b5eb9-7458-48a3-bea5-3083dc2fbad4"

        new entry "SB_Status_TotemicBlessing_Vine_Self"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear_Self"
        data "DescriptionParams" "Vine"
        data "Icon" "SB_Totem_VineActive"
 
        // Eclipse //
    
        new entry "SB_Status_TotemicBlessing_Eclipse"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear"
        data "DescriptionParams" "Eclipse"
        data "Icon" "SB_Totem_Eclipse_Icon"
        data "Passives" "SB_Passive_Totems_Eclipse"
        data "OnRemoveFunctors" "RemoveStatus(SELF,SB_Status_TotemicBlessing_Eclipse_Self);IF(RemoveCause(StatusRemoveCause.Death)):RestoreResource(SELF,SB_TotemicBlessingCharge,1)"
        data "StatusEffect" "58f4ac92-34cd-489c-927b-149a47ecf464"

        new entry "SB_Status_TotemicBlessing_Eclipse_Self"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear_Self"
        data "DescriptionParams" "Eclipse"
        data "Icon" "SB_Totem_EclipseActive"
 
        // Sapling //
    
        new entry "SB_Status_TotemicBlessing_Sapling"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear"
        data "DescriptionParams" "Sapling"
        data "Icon" "SB_Totem_Sapling_Icon"
        data "Passives" "SB_Passive_Totems_Sapling"
        data "OnRemoveFunctors" "RemoveStatus(SELF,SB_Status_TotemicBlessing_Sapling_Self);IF(RemoveCause(StatusRemoveCause.Death)):RestoreResource(SELF,SB_TotemicBlessingCharge,1)"
        data "StatusEffect" "6c794f5f-2022-4edd-b430-80bb934558bf"

        new entry "SB_Status_TotemicBlessing_Sapling_Self"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear_Self"
        data "DescriptionParams" "Sapling"
 
        // Skies //
    
        new entry "SB_Status_TotemicBlessing_Skies"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear"
        data "DescriptionParams" "Skies"
        data "Icon" "SB_Totem_Skies_Icon"
        data "Passives" "SB_Passive_Totems_Skies"
        data "OnRemoveFunctors" "RemoveStatus(SELF,SB_Status_TotemicBlessing_Skies_Self);IF(RemoveCause(StatusRemoveCause.Death)):RestoreResource(SELF,SB_TotemicBlessingCharge,1)"
        data "StatusEffect" "da5b9c2e-304c-4814-895b-ad52843d4e4a"

        new entry "SB_Status_TotemicBlessing_Skies_Self"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear_Self"
        data "DescriptionParams" "Skies"
    
    // Empowered Blessing //

    new entry "SB_Status_EmpoweredBlessing"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "hd624bf2egc9b4g48dagbf7egd21f95060f17;2"
    data "Description" "h99e8f421gc8ffg4404g9f69gb23bd4244dc7;3"
    data "Icon" "SB_EmpoweredBlessing_Icon"
    data "Passives" "SB_WitchDoctor_EmpoweredBlessing_TA"
    data "StatusPropertyFlags" "DisableOverhead;DisableCombatlog;DisablePortraitIndicator"

/// Totems ///

    // Bear //

    new entry "SB_Status_Totems_Bear"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "h7fc3bc14g532bg41d6gbc32gce72c9fa2832;1"
    data "Description" "hf1798397gea42g4733gbe93gd621f55e98db;6"
    data "Icon" "SB_Totem_BearActive_Icon"
    data "Boosts" "UnlockSpell(SB_Target_Totems_Bear);UnlockSpell(SB_Shout_Totems_BearDeclaw)"
    data "StatusGroups" "SG_RemoveOnRespec"
    data "StatusPropertyFlags" "DisableCombatlog;DisablePortraitIndicator;DisableOverhead;ApplyToDead"

    // Waves //

    new entry "SB_Totems_WavesStatus"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "h7fc3bc14g532bg41d6gbc32gce72c9fa2832;1"
    data "Description" "hf1798397gea42g4733gbe93gd621f55e98db;6"
    data "Icon" "Spell_Abjuration_Transmutation_Shillelagh"
    data "Boosts" "CriticalHit(AttackTarget,Success,Never)"
    data "StatusGroups" "SG_RemoveOnRespec"

    // Whirlwind //

    new entry "SB_Totems_WhirlwindOwnerStatus"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "hddf178dag79eag48acg9224g1fcfacaaba18;1"
    data "Description" "h8d51d231gf44dg48f3g862fg91825decc1b7;1"
    data "Icon" "SB_Totem_Whirlwind_Icon"
    data "TickType" "EndTurn"
    data "Boosts" "UnlockSpell(SB_Target_Totems_WhirlwindFree);"
    data "RemoveConditions" "SpellId('SB_Target_Totems_WhirlwindFree')"
    data "RemoveEvents" "OnAttack"
    data "StatusGroups" "SG_RemoveOnRespec"
    data "StatusPropertyFlags" "DisableCombatlog;DisablePortraitIndicator;DisableOverhead;ApplyToDead"

    new entry "SB_Totems_WhirlwindTargetStatus"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "hddf178dag79eag48acg9224g1fcfacaaba18;1"
    data "Description" "h8d51d231gf44dg48f3g862fg91825decc1b7;1"
    data "Icon" "SB_Totem_Whirlwind_Icon"
    data "TickType" "EndTurn"
    data "RemoveConditions" "SpellId('SB_Target_Totems_WhirlwindFree')"
    data "RemoveEvents" "OnAttacked"
    data "StatusGroups" "SG_RemoveOnRespec"
    data "StatusPropertyFlags" "DisableCombatlog;DisablePortraitIndicator;DisableOverhead;ApplyToDead;TickingWithSource"

    // Light //

    new entry "SB_Status_Totems_Light"
    type "StatusData"
    data "StatusType" "BOOST"
    data "Icon" "SB_Totem_Light_Icon"
    data "DisplayName" "hda000c1fgcfa7g4156g8cb0gc71833b403f7;1"
    data "Description" "h11ffa9f2g332bg46a0gbab0g72280a9d5e49;2"
    data "DescriptionParams" "TemporaryHP(WisdomModifier)"
    data "SoundStart" "Misc_Status_Stormshoretabernacle_Godblessed"
    data "StackId" "TEMPORARY_HP"
    data "Boosts" "TemporaryHP(WisdomModifier)"
    data "StatusPropertyFlags" ""
    data "RemoveConditions" "not HasTemporaryHP()"
    data "RemoveEvents" "OnDamage"
    data "StatusGroups" "SG_RemoveOnRespec"
    data "ApplyEffect" "c8f93b82-29e0-44ab-af10-d4284d67974b"

    // Mirth // 

    new entry "SB_Status_Totems_Mirth"
    type "StatusData"
    data "StatusType" "BOOST"
    data "Icon" "SB_Totem_Mirth_Icon"
    data "DisplayName" "hd66f97b9g087cg4ccfga3afgeb949d6cd389;1"
    data "Description" "hd9020d67ga393g4bbag968cg7a90aa22ec04;2"
    data "DescriptionParams" "TemporaryHP(ClassLevel(SB_ShamanLL))"
    data "SoundStart" "Misc_Status_Stormshoretabernacle_Godblessed"
    data "StackId" "TEMPORARY_HP"
    data "Boosts" "TemporaryHP(ClassLevel(SB_ShamanLL))"
    data "StatusPropertyFlags" ""
    data "RemoveConditions" "not HasTemporaryHP()"
    data "RemoveEvents" "OnDamage"
    data "StatusGroups" "SG_RemoveOnRespec"
    data "ApplyEffect" "c8f93b82-29e0-44ab-af10-d4284d67974b"



